Time (s),Altitude (m)
-0.1625,-121.632653061225
-0.08125,-126.530612244898
0,-121.632653061225
0.08125,-102.040816326531
0.1625,-87.3469387755104
0.24375,-77.5510204081634
0.325,-43.2653061224492
0.40625,-13.8775510204082
0.4875,-8.97959183673493
0.56875,15.5102040816328
0.65,40
0.73125,59.591836734694
0.8125,69.387755102041
0.89375,84.0816326530612
0.975,113.469387755102
1.05625,137.959183673469
1.1375,162.448979591837
1.21875,167.34693877551
1.3,186.938775510204
1.38125,216.326530612245
1.4625,240.816326530612
1.54375,265.30612244898
1.625,275.102040816327
1.70625,299.591836734694
1.7875,319.183673469388
1.86875,353.469387755102
1.95,373.061224489796
2.03125,377.959183673469
2.1125,407.34693877551
2.19375,441.632653061224
2.275,480.816326530612
2.35625,515.102040816327
2.4375,520
2.51875,539.591836734694
2.6,564.081632653061
2.68125,588.571428571429
2.7625,622.857142857143
2.84375,622.857142857143
2.925,652.244897959184
3.00625,681.632653061224
3.0875,715.918367346939
3.16875,740.408163265306
3.25,750.204081632653
3.33125,774.693877551021
3.4125,794.285714285714
3.49375,813.877551020408
3.575,838.367346938775
3.65625,848.163265306122
3.7375,862.857142857143
3.81875,882.448979591837
3.9,906.938775510204
3.98125,926.530612244898
4.0625,931.428571428571
4.14375,960.816326530612
4.225,980.408163265306
4.30625,1004.89795918367
4.3875,1029.38775510204
4.46875,1039.18367346939
4.55,1053.87755102041
4.63125,1078.36734693878
4.7125,1102.85714285714
4.79375,1132.24489795918
4.875,1137.14285714286
4.95625,1151.83673469388
5.0375,1176.32653061224
5.11875,1205.71428571429
5.2,1220.40816326531
5.28125,1230.20408163265
5.3625,1254.69387755102
5.44375,1274.28571428571
5.525,1293.87755102041
5.60625,1313.4693877551
5.6875,1328.16326530612
5.76875,1337.95918367347
5.85,1362.44897959184
5.93125,1386.9387755102
6.0125,1401.63265306122
6.09375,1406.5306122449
6.175,1431.02040816327
6.25625,1445.71428571429
6.3375,1465.30612244898
6.41875,1484.89795918367
6.5,1499.59183673469
6.58125,1504.48979591837
6.6625,1528.97959183673
6.74375,1543.67346938776
6.825,1563.26530612245
6.90625,1573.0612244898
6.9875,1582.85714285714
7.06875,1626.9387755102
7.15,1617.14285714286
7.23125,1636.73469387755
7.3125,1641.63265306122
7.39375,1656.32653061224
7.475,1666.12244897959
7.55625,1690.61224489796
7.6375,1710.20408163265
7.71875,1715.10204081633
7.8,1729.79591836735
7.88125,1739.59183673469
7.9625,1754.28571428571
8.04375,1768.97959183673
8.125,1778.77551020408
8.20625,1783.67346938776
8.2875,1803.26530612245
8.36875,1813.0612244898
8.45,1827.75510204082
8.53125,1832.65306122449
8.6125,1837.55102040816
8.69375,1852.24489795918
8.775,1862.04081632653
8.85625,1876.73469387755
8.9375,1881.63265306122
9.01875,1886.5306122449
9.1,1901.22448979592
9.18125,1911.02040816327
9.2625,1925.71428571429
9.34375,1925.71428571429
9.425,1935.51020408163
9.50625,1940.40816326531
9.5875,1955.10204081633
9.66875,1960
9.75,1969.79591836735
9.83125,1974.69387755102
9.9125,1979.59183673469
9.99375,1989.38775510204
10.075,1999.18367346939
10.15625,1999.18367346939
10.2375,2004.08163265306
10.31875,2018.77551020408
10.4,2023.67346938776
10.48125,2028.57142857143
10.5625,2028.57142857143
10.64375,2038.36734693878
10.725,2043.26530612245
10.80625,2048.16326530612
11.29375,2072.65306122449
11.375,2072.65306122449
11.45625,2077.55102040816
11.5375,2077.55102040816
11.61875,2082.44897959184
11.7,2082.44897959184
11.78125,2082.44897959184
11.8625,2087.34693877551
11.94375,2092.24489795918
12.025,2087.34693877551
12.10625,2087.34693877551
12.1875,2087.34693877551
12.26875,2082.44897959184
12.35,2082.44897959184
12.43125,2067.75510204082
12.5125,2087.34693877551
12.59375,2087.34693877551
12.675,2087.34693877551
12.75625,2087.34693877551
12.8375,2092.24489795918
12.91875,2087.34693877551
