Reference,Qty,Value,Comprar,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
"C1,C4,C17",3,10u,,,,,Capacitor_SMD:C_0805_2012Metric,~
"C2,C3",2,15p,x,,,,Capacitor_SMD:C_0805_2012Metric,~
"C5,C6,C7,C9,C11,C12,C13,C14,C15,C16",10,100n,x,,,,Capacitor_SMD:C_0805_2012Metric,~
"C8,C10",2,1u,x,,,,Capacitor_SMD:C_0805_2012Metric,~
"C_BME_VDD1,C_BME_VDDIO1,C_MPU_REG1,C_VDD_MPU1",4,100n,x,,,,TCLib:C_0805,~
"C_SAM_VBCKP1,C_SAM_VCC1,C_SAM_VCCIO1",3,C,,,,,TCLib:C_0805,~
C_VDDIO_MPU1,1,10n,,,,,TCLib:C_0805,~
"H1,H2,H3,H4",4,MountingHole,,,Excluded from BOM,,MountingHole:MountingHole_3.5mm,~
J1,1,Terminal_3,,,,,TCLib:Bornera_3_P5mm,
J2,1,Conn_01x02,,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
J3,1,UJ20-C-H-G-SMT-1-P16-TR,,,,,my_lib:USB-C-samesky,
J4,1,Terminal_2,,,,,TCLib:Bornera_2_P5mm,
Q1,1,MMBT5551L,si,,,,Package_TO_SOT_SMD:SOT-23,www.onsemi.com/pub/Collateral/MMBT5550LT1-D.PDF
Q3,1,FDN340P,si,,,,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/FDN340P-D.PDF
"R1,R5",2,1k,,,,,Resistor_SMD:R_0805_2012Metric,~
R2,1,10k,,,,,Resistor_SMD:R_0805_2012Metric,~
"R3,R4",2,27,,,,,Resistor_SMD:R_0805_2012Metric,~
"R6,R7,R8,R_BME_SCL1,R_BME_SDA1,R_MPU_SCL1,R_MPU_SDA1,R_SAM_SCL1,R_SAM_SDA1",9,R,,,,,TCLib:R_0805,~
U1,1,NCP1117-3.3_SOT223,si,,,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF
U2,1,W25Q128JVS,,,,,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf
U3,1,RP2040,,,,,RP2040_minimal_r2:RP2040-QFN-56,
U4,1,BME280,,,,,my_lib:PSON65P250X250X100-8N,
U5,1,MPU-9250,,,,,my_lib:MPU-9250,
U6,1,SAM-M8Q-0-10,,,,,my_lib:MODULE_SAM-M8Q-0-10,
Y1,1,ABM8-272-T3,si,,,,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,~
